Premis_ID,Premis_Desc
110,FREEWAY
139,AMUSEMENT PARK*
136,"OTHER INTERSTATE, CHARTER BUS"
904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
414,BOOK STORE
140,BALCONY*
410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
135,MTA PROPERTY OR PARKING LOT
705,SLIPS/DOCK/MARINA/BOAT
935,MTA - BLUE LINE - WASHINGTON
974,
713,CONVENTION CENTER
114,TAXI
144,GOLF COURSE*
,
517,MISSIONS/SHELTERS
958,MTA - GREEN LINE - AVIATION/LAX
146,PATIO*
901,MTA - RED LINE - CIVIC CENTER/GRAND PARK
215,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA"
606,DRIVE THRU BANKING (WINDOW)*
911,MTA - RED LINE - HOLLYWOOD/HIGHLAND
154,TRAIN TRACKS
147,POOL-PUBLIC/OUTDOOR OR INDOOR*
742,"SPORTS VENUE, OTHER"
912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
906,MTA - RED LINE - VERMONT/BEVERLY
729,SPECIALTY SCHOOL/OTHER
941,MTA - EXPO LINE - PICO
932,MTA - BLUE LINE - PICO
214,"BUS DEPOT/TERMINAL, OTHER THAN MTA"
152,UNDERPASS/BRIDGE*
239,MEDICAL MARIJUANA FACILITIES/BUSINESSES
201,JEWELRY STORE
253,MORTUARY
244,TOBACCO SHOP
908,MTA - RED LINE - VERMONT/SUNSET
141,CEMETARY*
885,MTA - ORANGE LINE - CHATSWORTH
712,COLISEUM
948,MTA - EXPO LINE - FARMDALE
605,AUTOMATED TELLER MACHINE (ATM)
740,OTHER PLACE OF WORSHIP
219,CLEANER/LAUNDROMAT
711,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*"
909,MTA - RED LINE - HOLLYWOOD/WESTERN
718,MASSAGE PARLOR
417,THE BEVERLY CONNECTION
956,MTA - GREEN LINE - AVALON
754,MUSEUM
247,CAR WASH
739,SPORTS ARENA
250,COMPUTER SERVICES/REPAIRS/SALES
111,BUS-CHARTER/PRIVATE
910,MTA - RED LINE - HOLLYWOOD/VINE
954,MTA - EXPO LINE - EXPO/BUNDY
957,MTA - GREEN LINE - HARBOR FWY
940,MTA - EXPO LINE - 7TH AND METRO CENTER
409,BEAUTY SUPPLY STORE
120,STORAGE SHED
249,NURSERY/FLOWER SHOP
809,METROLINK TRAIN
107,VACANT LOT
942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
511,PROJECT/TENEMENT/PUBLIC HOUSING
142,DRIVE THRU*
944,MTA - EXPO LINE - EXPO PARK/USC
229,CHECK CASHING*
953,MTA - EXPO LINE - EXPO/SEPULVEDA
969,MTA - GOLD LINE - HERITAGE SQ
204,MANUFACTURING COMPANY
232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*"
751,WEBSITE
220,NAIL SALON
148,PUBLIC RESTROOM/OUTSIDE*
868,MTA - ORANGE LINE - NORTH HOLLYWOOD
921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
943,MTA - EXPO LINE - JEFFERSON/USC
835,7TH AND METRO CENTER (NOT LINE SPECIFIC)
151,TOW YARD*
251,RECYCLING CENTER
716,THEATRE/MOVIE
753,DETENTION/JAIL FACILITY
230,DAY CARE/ADULTS*
149,RIVER BED*
157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)"
741,STAPLES CENTER *
920,MTA - PURPLE LINE - WILSHIRE/VERMONT
508,FRAT HOUSE/SORORITY/DORMITORY
907,MTA - RED LINE - VERMONT/SANTA MONICA
752,FIRE STATION
233,TATTOO PARLOR*
411,PET STORE
413,FURNITURE STORE
237,HOSPICE
303,OIL REFINERY
150,TOOL SHED*
231,DAY CARE/CHILDREN*
225,RECORD-CD MUSIC/COMPUTER GAME STORE
945,MTA - EXPO LINE - EXPO/VERMONT
947,MTA - EXPO LINE - EXPO/CRENSHAW
228,BOWLING ALLEY*
245,CATERING/ICE CREAM TRUCK
755,VETERINARIAN/ANIMAL HOSPITAL
933,MTA - BLUE LINE - GRAND/LATTC
106,TUNNEL
965,MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT
966,MTA - GOLD LINE - UNION STATION
897,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
703,ENTERTAINMENT/COMEDY CLUB (OTHER)
946,MTA - EXPO LINE - EXPO/WESTERN
936,MTA - BLUE LINE - VERNON
709,PUBLIC RESTROOM(INDOORS-INSIDE)
129,"TERMINAL, OTHER THAN MTA"
236,VISION CARE FACILITY*
211,PAWN SHOP
922,MTA - PURPLE LINE - WILSHIRE/WESTERN
931,MTA - BLUE LINE - 7TH AND METRO CENTER
519,SHORT-TERM VACATION RENTAL
412,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)"
950,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
138,STAIRWELL*
254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
604,FINANCE COMPANY
836,HARBOR FRWY STATION (NOT LINE SPECIFIC)
155,DAM/RESERVOIR
512,FOSTER HOME BOYS OR GIRLS*
882,MTA - ORANGE LINE - SHERMAN WAY
895,MTA - SILVER LINE - HARBOR FWY
302,FACTORY
731,MOSQUE*
513,ABATEMENT LOCATION
105,PEDESTRIAN OVERCROSSING
143,ESCALATOR*
934,MTA - BLUE LINE - SAN PEDRO
810,AMTRAK TRAIN
126,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)"
206,TV/RADIO/APPLIANCE
736,SKATEBOARD FACILITY/SKATEBOARD PARK*
967,MTA - GOLD LINE - CHINATOWN
878,MTA - ORANGE LINE - PIERCE COLLEGE
916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
223,VIDEO RENTAL STORE
971,MTA - GOLD LINE - HIGHLAND PARK
748,CULTURAL SIGNIFICANCE/MONUMENT
968,MTA - GOLD LINE - LINCOLN/CYPRESS
937,MTA - BLUE LINE - 103RD/WATTS TOWERS
756,MUSCLE BEACH
234,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
227,ABORTION CLINIC/ABORTION FACILITY*
962,MTA - GOLD LINE - SOTO
745,WATER FACILITY
871,MTA - ORANGE LINE - WOODMAN
951,MTA - EXPO LINE - PALMS
873,MTA - ORANGE LINE - SEPULVEDA
970,MTA - GOLD LINE - SOUTHWEST MUSEUM
952,MTA - EXPO LINE - WESTWOOD/RANCHO PARK
917,MTA - PURPLE LINE - PERSHING SQUARE
884,MTA - ORANGE LINE - NORDHOFF
113,"TRUCK, COMMERICAL"
972,
973,
872,MTA - ORANGE LINE - VAN NUYS
601,SAVINGS & LOAN
876,MTA - ORANGE LINE - RESEDA
874,MTA - ORANGE LINE - WOODLEY
115,AIRCRAFT
803,RETIRED (DUPLICATE) DO NOT USE THIS CODE
734,HOCKEY RINK/ICE HOCKEY
893,MTA - SILVER LINE - SLAUSON
963,MTA - GOLD LINE - MARIACHI PLAZA
757,BASKETBALL COURTS
875,MTA - ORANGE LINE - BALBOA
246,METHADONE CLINIC
964,MTA - GOLD LINE - PICO/ALISO
603,CREDIT UNION
915,MTA - PURPLE LINE - UNION STATION
125,PAY PHONE
883,MTA - ORANGE LINE - ROSCOE
127,TRASH CAN/TRASH DUMPSTER
743,MASS GATHERING LOCATION
918,MTA - PURPLE LINE - 7TH AND METRO CENTER
241,ENERGY PLANT/FACILITY
607,BANKING INSIDE MARKET-STORE *
869,MTA - ORANGE LINE - LAUREL CANYON
919,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
240,DEPT OF DEFENSE FACILITY
737,SKATING RINK*
879,MTA - ORANGE LINE - DE SOTO
894,MTA - SILVER LINE - MANCHESTER
870,MTA - ORANGE LINE - VALLEY COLLEGE
976,
898,MTA - SILVER LINE - PACIFIC COAST HWY
896,MTA - SILVER LINE - ROSECRANS
304,GARMENT MANUFACTURER
961,MTA - GOLD LINE - INDIANA
746,SEWAGE FACILITY/PIPE
975,
608,BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*
892,MTA - SILVER LINE - 37TH ST/USC
